id,name,slug,barcode,category,brand,aggregate_stock,is_available,stock_by_capacity_json,capacity_field,capacity_labels,capacity_pricing_detail
1032,Hennessy Paradis,hennessy-cognac-hennessy-paradis-700ml,,Cognac,Hennessy-Cognac,10,true,,700ML,700ML,
1033,Hennessy Pure White,hennessy-cognac-hennessy-pure-white-750ml,,Cognac,Hennessy-Cognac,10,true,,750ML.,750ML.,
1034,Hennessy VS,hennessy-cognac-hennessy-vs-1-litre,,Cognac,Hennessy-Cognac,10,true,,1 Litre | 700ML,1 Litre | 700ML,
1035,Hennessy VSOP,hennessy-cognac-hennessy-vsop-1-litre,,Cognac,Hennessy-Cognac,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
1036,Hennessy XO,hennessy-cognac-hennessy-xo-1-litre,,Cognac,Hennessy-Cognac,10,true,,1 Litre | 700ML,1 Litre | 700ML,
1202,KWV XO,kwv-wine-kwv-xo-700ml,,Cognac,KWV Wine,10,true,,700ML,700ML,
1406,Martel XO,martell-cognac-price-in-kenya-martel-xo-700ml,,Cognac,Martell-Cognac Price In Kenya,10,true,,700ML | 1 Litre,700ML | 1 Litre,
1407,Martell Blueswift,martell-cognac-price-in-kenya-martell-blueswift-700ml,,Cognac,Martell-Cognac Price In Kenya,10,true,,700ML,700ML,
1408,Martell Cordon Blue,martell-cognac-price-in-kenya-martell-cordon-blue-700ml,,Cognac,Martell-Cognac Price In Kenya,10,true,,700ML,700ML,
1409,Martell VS,martell-cognac-price-in-kenya-martell-vs-1-litre,,Cognac,Martell-Cognac Price In Kenya,10,true,,1 Litre | 700ML,1 Litre | 700ML,
1410,Martell VSOP,martell-cognac-price-in-kenya-martell-vsop-750ml,,Cognac,Martell-Cognac Price In Kenya,10,true,,750ml | 1 Litre,750ml | 1 Litre,
1427,Meukow X.O,meukow-meukow-xo-1-litre,,Cognac,Meukow,10,true,,1 Litre,1 Litre,
1687,Remy Martin 1738 Accord Royal,rmy-martin-remy-martin-1738-accord-royal-700ml,,Cognac,Rémy Martin,10,true,,700ML,700ML,
1688,Remy Martin Louis XIII,rmy-martin-remy-martin-louis-xiii-700ml,,Cognac,Rémy Martin,10,true,,700ML,700ML,
1689,Remy Martin`s XO,rmy-martin-remy-martins-xo-700ml,,Cognac,Rémy Martin,10,true,,700ML,700ML,
1690,Remy Martins VSOP,rmy-martin-remy-martins-vsop-1-litre,,Cognac,Rémy Martin,10,true,,1 Litre | 700ML,1 Litre | 700ML,
688,Dusse VSOP Cognac,dusse-vsop-cognac-700ml,,Cognac,,10,true,,700ML,700ML,
1052,Hine Rare VSOP,hine-rare-vsop-700ml,,Cognac,,10,true,,700ML,700ML,
1175,K.O - Lime & Ginger,kenyan-originals-ko-lime-ginger-six-pack,,Beer,Kenyan-Originals,10,true,,6pack | 1 can,6pack | 1 can,6pack@1800 | 1 can@300
1177,K.O Beer - Mango and Ginger,kenyan-originals-ko-beer-mango-and-ginger-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack | 12 PACK,Six Pack | 12 PACK,
1178,K.O Beer - Pineapple & Mint,kenyan-originals-ko-beer-pineapple-mint-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack | 12 PACK,Six Pack | 12 PACK,
1181,K.O Hibiscus & lime ice tea,kenyan-originals-ko-hibiscus-lime-ice-tea-330ml,,Beer,Kenyan-Originals,10,true,,330ml,330ml,
1182,K.O Hibiscus and lime,kenyan-originals-ko-hibiscus-and-lime-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack,Six Pack,
